experiment,group,metric,n_episodes,estimate,ci_low,ci_high,bootstrap_resamples,unit
coalition,competence_signaling,detection_rate,45,0.016667,0.0,0.038889,10000,episode-level mean
coalition,competence_signaling,no_coalition,45,0.0,0.0,0.0,10000,episode-level mean
coalition,competence_signaling,player_1_payoff,45,61.666667,60.333333,63.0,10000,episode-level mean
coalition,competence_signaling,target_target_coalition,45,0.333333,0.2,0.466667,10000,episode-level mean
coalition,competence_signaling,trustworthiness,45,78.027778,76.833333,79.166667,10000,episode-level mean
coalition,double_commitment,coalition_with_manipulator,45,0.8,0.688889,0.911111,10000,episode-level mean
coalition,double_commitment,detection_rate,45,0.005556,0.0,0.016667,10000,episode-level mean
coalition,double_commitment,no_coalition,45,0.022222,0.0,0.066667,10000,episode-level mean
coalition,double_commitment,player_1_payoff,45,63.0,61.888889,64.111111,10000,episode-level mean
coalition,double_commitment,target_target_coalition,45,0.177778,0.066667,0.288889,10000,episode-level mean
coalition,double_commitment,trustworthiness,45,80.138889,79.111111,81.05625,10000,episode-level mean
coalition,exclusive_reassurance,coalition_with_manipulator,45,0.488889,0.355556,0.644444,10000,episode-level mean
coalition,exclusive_reassurance,detection_rate,45,0.016667,0.0,0.044444,10000,episode-level mean
coalition,exclusive_reassurance,no_coalition,45,0.044444,0.0,0.111111,10000,episode-level mean
coalition,exclusive_reassurance,player_1_payoff,45,59.888889,58.555556,61.444444,10000,episode-level mean
coalition,exclusive_reassurance,target_target_coalition,45,0.466667,0.311111,0.6,10000,episode-level mean
coalition,exclusive_reassurance,trustworthiness,45,71.5,70.583333,72.388889,10000,episode-level mean
coalition,fake_anger,coalition_with_manipulator,45,0.444444,0.311111,0.6,10000,episode-level mean
coalition,fake_anger,detection_rate,45,0.561111,0.438889,0.683333,10000,episode-level mean
coalition,fake_anger,no_coalition,45,0.044444,0.0,0.111111,10000,episode-level mean
coalition,fake_anger,player_1_payoff,45,59.444444,58.111111,61.0,10000,episode-level mean
coalition,fake_anger,target_target_coalition,45,0.511111,0.355556,0.644444,10000,episode-level mean
coalition,fake_anger,trustworthiness,45,51.361111,47.361111,55.194444,10000,episode-level mean
coalition,fake_disappointment,coalition_with_manipulator,45,0.666667,0.533333,0.8,10000,episode-level mean
coalition,fake_disappointment,detection_rate,45,0.227778,0.15,0.305556,10000,episode-level mean
coalition,fake_disappointment,no_coalition,45,0.0,0.0,0.0,10000,episode-level mean
coalition,fake_disappointment,player_1_payoff,45,61.666667,60.333333,63.0,10000,episode-level mean
coalition,fake_disappointment,target_target_coalition,45,0.333333,0.2,0.466667,10000,episode-level mean
coalition,fake_disappointment,trustworthiness,45,59.361111,56.055556,62.611111,10000,episode-level mean
coalition,neutral_control,coalition_with_manipulator,45,0.555556,0.421667,0.711111,10000,episode-level mean
coalition,neutral_control,detection_rate,45,0.0,0.0,0.0,10000,episode-level mean
coalition,neutral_control,no_coalition,45,0.0,0.0,0.0,10000,episode-level mean
coalition,neutral_control,player_1_payoff,45,60.555556,59.216667,62.111111,10000,episode-level mean
coalition,neutral_control,target_target_coalition,45,0.444444,0.288889,0.578333,10000,episode-level mean
coalition,neutral_control,trustworthiness,45,72.583333,71.194444,73.972222,10000,episode-level mean
coalition,reputation_reframing,coalition_with_manipulator,45,0.444444,0.311111,0.6,10000,episode-level mean
coalition,reputation_reframing,detection_rate,45,0.238889,0.155556,0.333333,10000,episode-level mean
coalition,reputation_reframing,no_coalition,45,0.0,0.0,0.0,10000,episode-level mean
coalition,reputation_reframing,player_1_payoff,45,59.444444,58.111111,61.0,10000,episode-level mean
coalition,reputation_reframing,target_target_coalition,45,0.555556,0.4,0.688889,10000,episode-level mean
coalition,reputation_reframing,trustworthiness,45,57.416667,54.25,60.611111,10000,episode-level mean
